text,label
"Reminder: 47 library books still unreturned from Jefferson Elementary, please check at home and return by Friday.",US_School
"Madison High School families - tech file cleanup required before year end, visit link for student departure instructions.",US_School
"Oakwood Weekly newsletter for week of March 15th, 2025 - exciting spring events coming up for Eagles families.",US_School
"Canvas notification: Assignment 'Character Analysis Essay' graded for Literature 7A class, review feedback available.",US_School
"Teacher Appreciation Week March 12-16 at Lincoln Elementary - daily themed activities to show gratitude to staff.",US_School
"Roosevelt Middle School progress reports now available in parent portal, contact office for login assistance.",US_School
"Block Party fundraiser tonight at Riverside Elementary - carnival games, food trucks, and silent auction details attached.",US_School
"8th grade Apollo 13 movie clips viewing permission for Engineering Design unit at Washington STEM Academy.",US_School
"Field Day 2025 visitor registration required - red wristband mandatory for all parent volunteers at Parkview Elementary.",US_School
"Reminder: 3rd grade Math STAAR testing tomorrow at Meadowbrook Elementary, ensure students get good rest tonight.",US_School
"Volunteer opportunity: lunch duty helpers needed daily at Sunset Elementary to support smooth cafeteria operations.",US_School
"Gifted/Talented screening results available for grades 1-5 students, placement decisions finalized by district committee.",US_School
"Literature Circle novel reading assignments due today - Hunger Games chapters 77-102, check Canvas for details.",US_School
"Secure protocol active at Valley Middle School, no visitors or early dismissals during 6th/7th grade STAAR testing.",US_School
"Annual registration for 2025-26 school year complete, student schedules available on release date in summer.",US_School
"Senior parade celebration route information attached for Hillcrest Elementary families and community members.",US_School
"PTA School of Excellence application submitted by Creekside Elementary, partnership program to enhance school community.",US_School
"Watch DOGS morning drop-off volunteer confirmation for Tuesday 8:00-8:30 AM at Northside Elementary School.",US_School
"Anxious Generation book study session cancelled tonight, rescheduled for Tuesday May 13th final discussion meeting.",US_School
"District achieves 'A' rating from state, local elections tomorrow - exercise your right to vote.",US_School
"Energy drink survey data collection for science project - complete form once through Greene's class portal.",US_School
"Dress code reminder for spring weather at Central High School - refer to student handbook guidelines.",US_School
"Legacy Walk brick purchase opportunity to honor your child's memory at Brookfield Elementary forever.",US_School
"Home Access Center progress reports available for 2nd-5th grade students, kindergarten reports distributed separately.",US_School
"Golf teams advance to regional championships, spring sports update in monthly athletics newsletter available online.",US_School
"Morning drop-off safety reminder for Westfield Middle School families - follow designated traffic patterns please.",US_School
"3D modeling final scene assignment graded, lighting and street design project feedback available in Canvas.",US_School
"Math Blooket study game link shared for STAAR test prep - practice geometry concepts from today's lesson.",US_School
"National PTA partnership program application pending for Elmwood Elementary School community excellence recognition initiative.",US_School
"Silent film storyboard project graded for Digital Arts class - creative storytelling techniques feedback now available.",US_School
"Pulsating cube geometry animation assignment completed, 3D modeling skills assessment scores posted in gradebook portal.",US_School
"Spring carnival fundraiser flyer attached - face painting, games, and food booths at Maplewood Elementary Saturday.",US_School
"Character journey tracker worksheet graded for 8th grade literature circles, plot development analysis feedback provided.",US_School
"Making connections reading comprehension assignment scored, critical thinking skills demonstrated in student responses effectively.",US_School
"Creating animated logo project completed during STAAR testing days, graphic design portfolio piece now finalized.",US_School
"Weekly Canvas notification report for assignments and submissions in Thompson's 7th grade English language arts.",US_School
"Space exploration unit permission slip for Apollo documentary viewing in Johnson's middle school science classes.",US_School
"Setting analysis essay graded with detailed rubric feedback, literary elements understanding clearly demonstrated by students.",US_School
"Giver novel reading pages 75-89 assigned for tomorrow's literature discussion, prepare chapter summary notes.",US_School
"Schwa Was Here book club pages 45-62 due Friday, character development questions posted in online classroom.",US_School
"Outsiders reading assignment chapters 39-51 completed, social themes discussion scheduled for next class meeting.",US_School
"Theme tracker assignment created for literature circles unit, symbolic elements analysis worksheet now available online.",US_School
"Summarizing and vocabulary skills assessment distributed, reading comprehension strategies practice due next Tuesday morning.",US_School
"Script writing activity final draft graded, creative writing techniques successfully incorporated into student screenplays.",US_School
"Daily notification digest for Hamilton Academy Canvas platform, assignment updates and grade postings from yesterday.",US_School
"Lunch volunteer coordinator seeking helpers for cafeteria supervision during elementary school meal periods daily.",US_School
"Progress check completed for street lighting 3D modeling project, technical skills development on schedule.",US_School
"Online auction fundraising event begins tonight, bid on donated items to support Willowbrook Elementary programs.",US_School
"Returning student technology guidelines for end of year, backup important files before summer break begins.",US_School
"Weekly report from Pine Ridge Middle School for week ending April 19th, upcoming events and announcements.",US_School
"Literature circle novels distributed for spring semester, choose from fantasy, mystery, or historical fiction options.",US_School
"Drop-off procedure reminder for Oakdale Elementary families, safety protocols must be followed during morning rush.",US_School
"Registration confirmation received for 2025-26 academic year, enrollment process successfully completed for all students.",US_School
"STAAR testing schedule begins Monday for 3rd grade reading assessment, arrive early and eat healthy breakfast.",US_School
"Visitor badge requirement for all campus guests, pre-registration mandatory through main office security system.",US_School
